Category,Indicator,Variable,Units,Statistic,Scale
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_essentials_local_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_essentials_complete_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_health_all_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_civic_all_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_jobs_local_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_jobs_complete_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_services_local_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_services_complete_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 500 m to all core destination categories at their strict variant (fresh food market, large public open space, frequent public transport)",pct_access_walk_all_strict_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to all core destination categories at their strict variant (fresh food market, large public open space, frequent public transport)",pct_access_walk_all_strict_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1500 m to all core destination categories at their strict variant (fresh food market, large public open space, frequent public transport)",pct_access_walk_all_strict_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 500 m to all core destination categories at their lenient variant (pooled fresh food, any public open space, any public transport)",pct_access_walk_all_lenient_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to all core destination categories at their lenient variant (pooled fresh food, any public open space, any public transport)",pct_access_walk_all_lenient_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1500 m to all core destination categories at their lenient variant (pooled fresh food, any public open space, any public transport)",pct_access_walk_all_lenient_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to all destination categories of the 'essentials' combined-access set (strict variants),pct_access_walk_all_essentials_strict_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to all destination categories of the 'essentials' combined-access set (strict variants),pct_access_walk_all_essentials_strict_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to all destination categories of the 'essentials' combined-access set (strict variants),pct_access_walk_all_essentials_strict_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to all destination categories of the 'essentials' combined-access set (lenient variants),pct_access_walk_all_essentials_lenient_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to all destination categories of the 'essentials' combined-access set (lenient variants),pct_access_walk_all_essentials_lenient_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to all destination categories of the 'essentials' combined-access set (lenient variants),pct_access_walk_all_essentials_lenient_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to all destination categories of the 'services' combined-access set (strict variants),pct_access_walk_all_services_strict_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
